POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,OscarPiastriPIA,McLaren,01:15.921,16
2,63,GeorgeRussellRUS,Mercedes,+0.039s,17
3,1,MaxVerstappenVER,Red Bull Racing,+0.081s,18
4,16,CharlesLeclercLEC,Ferrari,+0.267s,22
5,12,KimiAntonelliANT,Mercedes,+0.285s,20
6,55,CarlosSainzSAI,Williams,+0.331s,23
7,23,AlexanderAlbonALB,Williams,+0.337s,21
8,44,LewisHamiltonHAM,Ferrari,+0.457s,21
9,22,YukiTsunodaTSU,Racing Bulls,+0.534s,17
10,4,LandoNorrisNOR,McLaren,+0.676s,20
11,5,GabrielBortoletoBOR,Kick Sauber,+0.786s,18
12,10,PierreGaslyGAS,Alpine,+0.798s,22
13,6,IsackHadjarHAD,Racing Bulls,+0.811s,18
14,18,LanceStrollSTR,Aston Martin,+1.027s,22
15,7,JackDoohanDOO,Alpine,+1.072s,18
16,27,NicoHulkenbergHUL,Kick Sauber,+1.225s,15
17,14,FernandoAlonsoALO,Aston Martin,+1.349s,22
18,31,EstebanOconOCO,Haas,+1.452s,18
19,87,OliverBearmanBEA,Haas,+0.000s,2
20,30,LiamLawsonLAW,Red Bull Racing,+0.000s,2
