POS.,NO.,DRIVER,,TEAM,TIME / GAP,LAPS
1,4,LandoNorrisNOR,,McLaren,01:17.252,21
2,55,CarlosSainzSAI,,Williams,+0.149s,25
3,16,CharlesLeclercLEC,,Ferrari,+0.209s,21
4,81,OscarPiastriPIA,,McLaren,+0.418s,20
5,1,MaxVerstappenVER,,Red Bull Racing,+0.444s,21
6,23,AlexanderAlbonALB,,Williams,+0.461s,18
7,63,GeorgeRussellRUS,,Mercedes,+0.464s,26
8,14,FernandoAlonsoALO,,Aston Martin,+0.484s,23
9,6,IsackHadjarHAD,,Racing Bulls,+0.595s,25
10,18,LanceStrollSTR,,Aston Martin,+0.805s,20
11,22,YukiTsunodaTSU,,Racing Bulls,+0.809s,23
12,44,LewisHamiltonHAM,,Ferrari,+0.819s,20
13,7,JackDoohanDOO,,Alpine,+0.980s,20
14,12,KimiAntonelliANT,,Mercedes,+1.138s,25
15,5,GabrielBortoletoBOR,,Kick Sauber,+1.186s,22
16,30,LiamLawsonLAW,,Red Bull Racing,+1.203s,22
17,10,PierreGaslyGAS,,Alpine,+1.253s,23
18,27,NicoHulkenbergHUL,,Kick Sauber,+1.334s,18
19,31,EstebanOconOCO,,Haas,+1.887s,16
20,87,OliverBearmanBEA,,Haas,+2.060s,12
