POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,16,CharlesLeclercLEC,Ferrari,01:16.439,32
2,81,OscarPiastriPIA,McLaren,+0.124s,30
3,4,LandoNorrisNOR,McLaren,+0.141s,30
4,22,YukiTsunodaTSU,Racing Bulls,+0.345s,29
5,44,LewisHamiltonHAM,Ferrari,+0.420s,31
6,6,IsackHadjarHAD,Racing Bulls,+0.580s,30
7,1,MaxVerstappenVER,Red Bull Racing,+0.624s,22
8,27,NicoHulkenbergHUL,Kick Sauber,+0.722s,24
9,18,LanceStrollSTR,Aston Martin,+0.840s,28
10,63,GeorgeRussellRUS,Mercedes,+0.843s,30
11,55,CarlosSainzSAI,Williams,+0.863s,30
12,23,AlexanderAlbonALB,Williams,+0.863s,28
13,14,FernandoAlonsoALO,Aston Martin,+0.891s,27
14,7,JackDoohanDOO,Alpine,+0.955s,30
15,10,PierreGaslyGAS,Alpine,+1.054s,30
16,12,KimiAntonelliANT,Mercedes,+1.195s,31
17,30,LiamLawsonLAW,Red Bull Racing,+1.201s,30
18,5,GabrielBortoletoBOR,Kick Sauber,+1.408s,29
19,31,EstebanOconOCO,Haas,+1.595s,31
